new_complete_name	library_id	unique_sample_id	batch_name	country	country_alpha2	country_alpha3	city	latitude	longtitude	batch_abbr	year	collection_date	isolation_source	organism	ena_sample_acc	ena_experiment_acc	ena_run_acc	instrument_model
DTU_2016_1_1_MG_ALB-17	1	2016_pil_alb_01	GS pilot 2016	Albania	AL	ALB	Tirana	41.32	19.9	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520863	ERX2624029	ERR2607373	Illumina HiSeq 3000
DTU_2016_2_2_MG_ALB-17_1	2	2016_pil_alb_01	GS pilot 2016	Albania	AL	ALB	Tirana	41.32	19.9	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520861	ERX2624027	ERR2607371	Illumina HiSeq 3000
DTU_2016_3_3_MG_ALB-17_2	3	2016_pil_alb_01	GS pilot 2016	Albania	AL	ALB	Tirana	41.32	19.9	pil	16	1/2/2016	wastewater	wastewater metagenome	ERS2520862	ERX2624028	ERR2607372	Illumina HiSeq 3000
DTU_2016_4_1_MG_AUS-18	1	2016_pil_aus_01	GS pilot 2016	Australia	AU	AUS	Woden	-35.35	149.09	pil	16	4/2/2016	wastewater	wastewater metagenome	ERS2520873	ERX2624039	ERR2607383	Illumina HiSeq 3000
DTU_2016_5_2_MG_AUS-18_1	2	2016_pil_aus_01	GS pilot 2016	Australia	AU	AUS	Woden	-35.35	149.09	pil	16	4/2/2016	wastewater	wastewater metagenome	ERS2520864	ERX2624030	ERR2607374	Illumina HiSeq 3000
DTU_2016_6_3_MG_AUS-18_2	3	2016_pil_aus_01	GS pilot 2016	Australia	AU	AUS	Woden	-35.35	149.09	pil	16	4/2/2016	wastewater	wastewater metagenome	ERS2520865	ERX2624031	ERR2607375	Illumina HiSeq 3000
DTU_2016_7_4_MG_AUS-18_3	4	2016_pil_aus_01	GS pilot 2016	Australia	AU	AUS	Woden	-35.35	149.09	pil	16	4/2/2016	wastewater	wastewater metagenome	ERS2520866	ERX2624032	ERR2607376	Illumina HiSeq 3000
DTU_2016_8_5_MG_AUS-18_4	5	2016_pil_aus_01	GS pilot 2016	Australia	AU	AUS	Woden	-35.35	149.09	pil	16	4/2/2016	wastewater	wastewater metagenome	ERS2520867	ERX2624033	ERR2607377	Illumina HiSeq 3000
DTU_2016_9_1_MG_AUS-18a	1	2016_pil_aus_02	GS pilot 2016	Australia	AU	AUS	Melbourne	-37.81	144.96	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520872	ERX2624038	ERR2607382	Illumina HiSeq 3000
DTU_2016_10_2_MG_AUS-18a_1	2	2016_pil_aus_02	GS pilot 2016	Australia	AU	AUS	Melbourne	-37.81	144.96	pil	16	8/2/2016	wastewater	wastewater metagenome	ERS2520868	ERX2624034	ERR2607378	Illumina HiSeq 3000
