run_accession	sample_accession	sample_alias	sample_title
ERR3503275	SAMEA5927882	Week_25_Mon_site9	Kibera_2014_06_16_9
ERR3503276	SAMEA5927883	Week_25_Wed_site9	Kibera_2014_06_18_9
ERR3503277	SAMEA5927884	Week_26_Mon_site9	Kibera_2014_06_23_9
ERR3503278	SAMEA5927885	Week_26_Wed_site9	Kibera_2014_06_25_9
ERR3503279	SAMEA5927886	Week_27_Mon_site9	Kibera_2014_06_30_9
ERR3503280	SAMEA5927887	Week_28_Mon_site9	Kibera_2014_07_07_9
ERR3503281	SAMEA5927888	Week_28_Wed_site9	Kibera_2014_07_09_9
ERR3503282	SAMEA5927889	Week_29_Mon_site9	Kibera_2014_07_14_9
ERR3503283	SAMEA5927890	Week_29_Wed_site9	Kibera_2014_07_16_9
ERR3503284	SAMEA5927891	Week_30_Mon_site9	Kibera_2014_07_21_9
ERR3503285	SAMEA5927892	Week_30_Wed_site9	Kibera_2014_07_23_9
ERR3503286	SAMEA5927893	Week_31_Mon_site9	Kibera_2014_07_28_9
ERR3503287	SAMEA5927894	Week_31_Wed_site9	Kibera_2014_07_30_9
ERR3503288	SAMEA5927895	Week_32_Mon_site9	Kibera_2014_08_04_9
ERR3503289	SAMEA5927896	Week_32_Wed_site9	Kibera_2014_08_06_9
ERR3503290	SAMEA5927897	Week_33_Mon_site9	Kibera_2014_08_11_9
ERR3503291	SAMEA5927898	Week_33_Wed_site9	Kibera_2014_08_13_9
ERR3503292	SAMEA5927899	Week_34_Mon_site9	Kibera_2014_08_18_9
ERR3503293	SAMEA5927900	Week_34_Wed_site9	Kibera_2014_08_20_9
ERR3503294	SAMEA5927901	Week_35_Mon_site9	Kibera_2014_08_25_9
ERR3503295	SAMEA5927902	Week_35_Wed_site9	Kibera_2014_08_27_9
ERR3503296	SAMEA5927903	Week_25_Mon_site10	Kibera_2014_06_16_10
ERR3503297	SAMEA5927904	Week_25_Wed_site10_1	Kibera_2014_06_18_10
ERR3503298	SAMEA5927905	Week_25_Wed_site10_2	Kibera_2014_06_18_10
ERR3503299	SAMEA5927906	Week_26_Mon_site10	Kibera_2014_06_23_10
ERR3503300	SAMEA5927907	Week_26_Wed_site10_1	Kibera_2014_06_25_10
ERR3503301	SAMEA5927908	Week_26_Wed_site10_2	Kibera_2014_06_25_10
ERR3503302	SAMEA5927909	Week_27_Mon_site10	Kibera_2014_06_30_10
ERR3503303	SAMEA5927910	Week_27_Wed_site10_1	Kibera_2014_07_02_10
ERR3503304	SAMEA5927911	Week_27_Wed_site10_2	Kibera_2014_07_02_10
ERR3503305	SAMEA5927912	Week_28_Mon_site10	Kibera_2014_07_07_10
ERR3503306	SAMEA5927913	Week_28_Wed_site10_1	Kibera_2014_07_09_10
ERR3503307	SAMEA5927914	Week_28_Wed_site10_2	Kibera_2014_07_09_10
ERR3503308	SAMEA5927915	Week_29_Mon_site10	Kibera_2014_07_14_10
ERR3503309	SAMEA5927916	Week_29_Wed_site10	Kibera_2014_07_16_10
ERR3503310	SAMEA5927917	Week_30_Mon_site10	Kibera_2014_07_21_10
ERR3503311	SAMEA5927918	Week_30_Wed_site10	Kibera_2014_07_23_10
ERR3503312	SAMEA5927919	Week_31_Mon_site10	Kibera_2014_07_28_10
ERR3503313	SAMEA5927920	Week_31_Wed_site10	Kibera_2014_07_30_10
ERR3503314	SAMEA5927921	Week_32_Mon_site10	Kibera_2014_08_04_10
ERR3503315	SAMEA5927922	Week_32_Wed_site10	Kibera_2014_08_06_10
ERR3503316	SAMEA5927923	Week_33_Wed_site10	Kibera_2014_08_13_10
ERR3503317	SAMEA5927924	Week_34_Mon_site10	Kibera_2014_08_18_10
ERR3503318	SAMEA5927925	Week_34_Wed_site10	Kibera_2014_08_20_10
ERR3503319	SAMEA5927926	Week_35_Mon_site10	Kibera_2014_08_25_10
ERR3503320	SAMEA5927927	Week_35_Wed_site10	Kibera_2014_08_27_10
