run_accession	fastq_ftp	run_alias
ERR2729796	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2729796/ERR2729796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2729796/ERR2729796_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-1
ERR2729797	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2729797/ERR2729797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2729797/ERR2729797_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-2
ERR2729798	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2729798/ERR2729798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2729798/ERR2729798_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-3
ERR2729799	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2729799/ERR2729799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2729799/ERR2729799_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-4
ERR2729800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2729800/ERR2729800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2729800/ERR2729800_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-5
ERR2729801	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2729801/ERR2729801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2729801/ERR2729801_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-6
ERR2729802	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/002/ERR2729802/ERR2729802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/002/ERR2729802/ERR2729802_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-7
ERR2729803	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/003/ERR2729803/ERR2729803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/003/ERR2729803/ERR2729803_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-8
ERR2729804	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/004/ERR2729804/ERR2729804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/004/ERR2729804/ERR2729804_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-9
ERR2729805	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/005/ERR2729805/ERR2729805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/005/ERR2729805/ERR2729805_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-10
ERR2729806	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2729806/ERR2729806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2729806/ERR2729806_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-11
ERR2729807	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2729807/ERR2729807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2729807/ERR2729807_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-12
ERR2729808	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2729808/ERR2729808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2729808/ERR2729808_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-13
ERR2729809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2729809/ERR2729809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2729809/ERR2729809_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-14
ERR2729810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2729810/ERR2729810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2729810/ERR2729810_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-15
ERR2729811	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2729811/ERR2729811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2729811/ERR2729811_2.fastq.gz	ena-RUN-NYU-07-08-2018-16:49:58:147-16
