SRR8663598	RNA	2014-04-14	14_April_2014_12_May_2014	Spring
SRR8663599	RNA	2014-03-17	17_March_2014_14_April_2014	Spring
SRR8663600	DNA	2014-12-23	DNANegative_Control	not applicable
SRR8663601	DNA	2014-12-23	DNAUnexposed_Filter	not applicable
SRR8663602	RNA	2014-02-17	17_February_2014_17_March_2014	Winter
SRR8663603	RNA	2014-01-20	20_January_2014_17_February_2014	Winter
SRR8663604	DNA	2014-11-24	24_November_2014_23_December_2014	Winter
SRR8663605	DNA	2014-10-27	27_October_2014_24_November_2014	Fall
SRR8663606	DNA	2014-12-23	23_December_2014_05_January_2015	Closed
SRR8663607	DNA	2015-01-05	05_Janurary_2015_02_February_2015	Winter
SRR8663608	RNA	2014-12-23	RNANegative_Control	not applicable
SRR8663609	RNA	2014-12-23	RNAUnexposed_Filter	not applicable
SRR8663610	DNA	2014-08-04	04_August_2014_02_September_2014	Summer
SRR8663611	DNA	2014-07-07	07_July_2014_04_August_2014	Summer
SRR8663612	DNA	2014-06-09	09_June_2014_07_July_2014	Summer
SRR8663613	DNA	2014-05-12	12_May_2014_09_June_2014	Spring
SRR8663614	DNA	2014-04-14	14_April_2014_12_May_2014	Spring
SRR8663615	DNA	2014-03-17	17_March_2014_14_April_2014	Spring
SRR8663616	DNA	2014-02-17	17_February_2014_17_March_2014	Winter
SRR8663617	DNA	2014-01-20	20_January_2014_17_February_2014	Winter
SRR8663618	DNA	2014-09-29	29_September_2014_27_October_2014	Fall
SRR8663619	DNA	2014-09-02	02_September_2014_29_September_2014	Fall
SRR8663620	RNA	2014-05-12	12_May_2014_09_June_2014	Spring
SRR8663621	RNA	2014-06-09	09_June_2014_07_July_2014	Summer
SRR8663622	RNA	2014-07-07	07_July_2014_04_August_2014	Summer
SRR8663623	RNA	2014-08-04	04_August_2014_02_September_2014	Summer
SRR8663624	RNA	2014-09-02	02_September_2014_29_September_2014	Fall
SRR8663625	RNA	2014-09-29	29_September_2014_27_October_2014	Fall
SRR8663626	RNA	2014-10-27	27_October_2014_24_November_2014	Fall
SRR8663627	RNA	2014-11-24	24_November_2014_23_December_2014	Winter
SRR8663628	RNA	2015-01-05	05_Janurary_2015_02_February_2015	Winter
SRR8663629	RNA	2014-12-23	23_December_2014_05_January_2015	Closed
