Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,Sample Name,source_material_id,SRA Study
SRR10002674,WGS,302,1398542068,PRJNA561080,SAMN12606730,Metagenome or environmental,639498169,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6741877,Sweden,Europe,"Sweden:Stockholm\,Tekniska hoegskolan",not applicable,Illumina HiSeq 2500,Subway and urban air,59.19104 N 18.04194 E,SL342435,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:29:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-STO-AS3,gCSD17-STO-AS3_17-06-21_Sweden:Stockholm:Tekniska hoegskolan,SRP218814
SRR10002675,WGS,302,1740918562,PRJNA561080,SAMN12606731,Metagenome or environmental,785127989,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6741876,Sweden,Europe,"Sweden:Stockholm\,T-centralen",not applicable,Illumina HiSeq 2500,Subway and urban air,59.18515 N 18.04241 E,SL342436,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-STO-AS4,gCSD17-STO-AS4_17-06-21_Sweden:Stockholm:T-centralen,SRP218814
SRR10002676,WGS,302,1664655408,PRJNA561080,SAMN12606732,Metagenome or environmental,749578481,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6741875,Sweden,Europe,"Sweden:Stockholm\,Slussen",not applicable,Illumina HiSeq 2500,Subway and urban air,59.18277 N 18.04331 E,SL342437,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-STO-AS5,gCSD17-STO-AS5_17-06-21_Sweden:Stockholm:Slussen,SRP218814
SRR10002677,WGS,302,1772986432,PRJNA561080,SAMN12606733,Metagenome or environmental,792785538,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-06-21,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6741874,Sweden,Europe,"Sweden:Stockholm\,Medborgarplatsen",not applicable,Illumina HiSeq 2500,Subway and urban air,59.19556 N 18.0144 E,SL342438,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-STO-AS6,gCSD17-STO-AS6_17-06-21_Sweden:Stockholm:Medborgarplatsen,SRP218814
SRR10002678,WGS,302,1833076278,PRJNA561080,SAMN12606835,Metagenome or environmental,692934706,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-14,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6741873,Hong Kong,Asia,"Hong Kong:Hong Kong\,Admiralty",not applicable,Illumina HiSeq 2500,Subway and urban air,22.279733 N 114.164584 E,SL311010,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS76,gCSD17-HKG-AS76_17-07-14_Hong Kong:Hong Kong:Admiralty,SRP218814
SRR10002679,WGS,302,2082550626,PRJNA561080,SAMN12606834,Metagenome or environmental,815071935,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-14,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6741872,Hong Kong,Asia,"Hong Kong:Hong Kong\,Ocean Park",not applicable,Illumina HiSeq 2500,Subway and urban air,22.249142 N 114.174605 E,SL311009,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:30:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS75,gCSD17-HKG-AS75_17-07-14_Hong Kong:Hong Kong:Ocean Park,SRP218814
SRR10002680,WGS,302,1320220180,PRJNA561080,SAMN12606833,Metagenome or environmental,489076674,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-14,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6741871,Hong Kong,Asia,"Hong Kong:Hong Kong\,Fortress Hill",not applicable,Illumina HiSeq 2500,Subway and urban air,22.288471 N 114.193647 E,SL311008,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:29:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS74,gCSD17-HKG-AS74_17-07-14_Hong Kong:Hong Kong:Fortress Hill,SRP218814
SRR10002681,WGS,302,1687319602,PRJNA561080,SAMN12606832,Metagenome or environmental,623934225,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-14,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6741870,Hong Kong,Asia,"Hong Kong:Hong Kong\,North Point",not applicable,Illumina HiSeq 2500,Subway and urban air,22.291449 N 114.200449 E,SL311007,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:31:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS73,gCSD17-HKG-AS73_17-07-14_Hong Kong:Hong Kong:North Point,SRP218814
SRR10002682,WGS,302,1304696172,PRJNA561080,SAMN12606831,Metagenome or environmental,502116840,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-14,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6741869,Hong Kong,Asia,"Hong Kong:Hong Kong\,Quarry Bay",not applicable,Illumina HiSeq 2500,Subway and urban air,22.288431 N 114.209697 E,SL311006,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:29:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS72,gCSD17-HKG-AS72_17-07-14_Hong Kong:Hong Kong:Quarry Bay,SRP218814
SRR10002683,WGS,302,1105327550,PRJNA561080,SAMN12606830,Metagenome or environmental,422843326,NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT (FFI),2017-07-14,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6741868,Hong Kong,Asia,"Hong Kong:Hong Kong\,Yau Tong",not applicable,Illumina HiSeq 2500,Subway and urban air,22.298656 N 114.236905 E,SL311005,PAIRED,RANDOM,METAGENOMIC,air metagenome,ILLUMINA,2020-08-21T00:00:00Z,2019-08-20T14:29:00Z,1,SASS 3100 electret filter air sampler,MetaSUB DNA isolation,gCSD17-HKG-AS71,gCSD17-HKG-AS71_17-07-14_Hong Kong:Hong Kong:Yau Tong,SRP218814
