SAMN26429452	SRR18218717	52773_RNA
SAMN26429451	SRR18218718	45986_RNA
SAMN26429450	SRR18218719	52509_RNA
SAMN26429449	SRR18218720	45112_RNA
SAMN26429448	SRR18218721	53675_DNA
SAMN26429447	SRR18218722	53530_DNA
SAMN26429446	SRR18218723	52773_DNA
SAMN26429445	SRR18218724	45986_DNA
SAMN26429459	SRR18218725	53530_sarscov2
SAMN26429458	SRR18218726	52773_sarscov2
SAMN26429457	SRR18218727	45986_sarscov2
SAMN26429456	SRR18218728	52509_sarscov2
SAMN26429455	SRR18218729	45112_sarscov2
SAMN26429454	SRR18218730	53675_RNA
SAMN26429453	SRR18218731	53530_RNA
SAMN26429444	SRR18218732	52509_DNA
SAMN26429443	SRR18218733	45112_DNA
