run_accession	sample_accession	instrument_model	fastq_ftp	sample_alias	first_created
SRR23083716	SAMN32742940	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/016/SRR23083716/SRR23083716.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/016/SRR23083716/SRR23083716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/016/SRR23083716/SRR23083716_2.fastq.gz	I_10922	2023-01-16
SRR23083717	SAMN32742940	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/017/SRR23083717/SRR23083717_1.fastq.gz	I_10922	2023-01-16
SRR23083718	SAMN32742939	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23083718/SRR23083718.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23083718/SRR23083718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/018/SRR23083718/SRR23083718_2.fastq.gz	I_10222	2023-01-16
SRR23083719	SAMN32742939	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/019/SRR23083719/SRR23083719_1.fastq.gz	I_10222	2023-01-16
SRR23083720	SAMN32742938	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/020/SRR23083720/SRR23083720.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/020/SRR23083720/SRR23083720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/020/SRR23083720/SRR23083720_2.fastq.gz	H_122621	2023-01-18
SRR23083721	SAMN32742938	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/021/SRR23083721/SRR23083721_1.fastq.gz	H_122621	2023-01-16
SRR23083722	SAMN32742936	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23083722/SRR23083722.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23083722/SRR23083722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23083722/SRR23083722_2.fastq.gz	H_121921	2023-01-18
SRR23083723	SAMN32742898	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/023/SRR23083723/SRR23083723_1.fastq.gz	A_121921	2023-01-16
SRR23083724	SAMN32742936	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/024/SRR23083724/SRR23083724_1.fastq.gz	H_121921	2023-01-16
SRR23083725	SAMN32742935	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/025/SRR23083725/SRR23083725.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/025/SRR23083725/SRR23083725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/025/SRR23083725/SRR23083725_2.fastq.gz	H_120521	2023-01-18
