SRR24706464	WG0L-210406-14_B04
SRR24706465	WG0N-210406-14_B04
SRR24706469	WG0W-210406-14_B04
SRR24706472	WG0V-210406-14_B04
SRR24706474	WG02c-210406-14_B04
SRR24706475	WG0P-210323-14_B04
SRR24706477	WG0N-210323-14_B04
SRR24706480	WG0Hm-210323-14_B04
SRR24706481	WG0W-210323-14_B04
SRR24706482	WG0A-210323-14_B04
SRR24706483	WG0R-210323-14_B04
SRR24706484	WG0V-210323-14_B04
SRR24706485	WR03-210323-14_B04
SRR24706487	WG01-210323-14_B04
SRR24706493	WG0L-210316-14_B04
SRR24706497	WG01-210504-14_B05
SRR24706499	WG02-210202-14_B03
SRR24706511	WG0A-210223-14_B03
SRR24706512	WG0R-210223-14_B03
SRR24706519	WM06-20200930-14_B02
SRR24706521	WM04-20200930-14_B02
SRR24706522	WR03-20200930-14_B02
SRR24706524	WG01-20200930-14_B02
SRR24706525	WM06-20200930-05_B02
SRR24706526	WG0W-210427-14_B05
SRR24706529	WR03-20200930-05_B02
SRR24706531	WG01-20200930-05_B02
SRR24706539	WG0V-210427-14_B05
SRR24706540	WG02-201118-14_B02
SRR24706542	WG0L-201125-14_B02
SRR24706543	WG0E-201125-14_B02
SRR24706546	WG0U-201125-14_B02
SRR24706554	WG0H-201216-14_B02
SRR24706555	WC0Dc-210511-14_B05
SRR24706558	WG0L-210420-14_B05
SRR24706560	WG0Hp-210511-14_B05
SRR24706564	WG0A-210511-14_B05
SRR24706568	WR03-210518-14_B06
SRR24706573	WM08-210525-14_B06
SRR24706577	WG02c-210608-14_B06
SRR24706578	WG02c-210601-14_B06
SRR24706582	WC0Dg-210504-14_B05
SRR24706585	WG01-210525-14_B06
SRR24706588	WC0Dg-210615-14_B06
SRR24706589	WC0Dg-210608-14_B06
SRR24706590	WC0Dg-210601-14_B06
SRR24706593	WC0Dc-210504-14_B05
SRR24706594	WC0Dc-210615-14_B06
SRR24706599	WG0R-210420-14_B04
SRR24706603	WG02g-210420-14_B04
SRR24706610	WG0N-210413-14_B04
SRR24706618	WG0Dg-210216-14_B03
SRR24706620	WG0L-210216-14_B03
SRR24706622	WG0Hp-210216-14_B03
SRR24706631	WG0L-210202-14_B03
SRR24706632	WG0E-210202-14_B03
SRR24706634	WG0Hm-210202-14_B03
SRR24706637	WG0Hm-210119-14_B03
SRR24706638	WG0W-210119-14_B03
SRR24706645	WG01-210119-14_B03
SRR24706646	WC0Dg-210126-14_B03
SRR24706651	WG0E-210126-14_B03
SRR24706652	WG0Hp-210126-14_B03
SRR24706655	WG0S-201216-14_B02
SRR24706659	WG0P-201209-14_B02
SRR24706660	WG0L-201209-14_B02
SRR24706661	WG02c-210427-14_B05
SRR24706662	WG0E-201209-14_B02
SRR24706664	WG0U-201209-14_B02
SRR24706670	WG0E-201202-14_B02
SRR24706674	WG0A-210420-14_B05
SRR24706677	WC0Dc-210406-14_B04
SRR24706683	WG0P-210608-14_B06
SRR24706687	WG0L-210622-14_B06
SRR24706698	WG0Kc-210615-14_B06
SRR24706699	WG0Kc-210608-14_B06
SRR24706708	WG01-210511-14_B05
SRR24706713	WG0Hm-210316-14_B04
SRR24706714	WG0W-210316-14_B04
SRR24706718	WR03-210316-14_B04
SRR24706720	WG02-210316-14_B04
SRR24706731	WG0A-210309-14_B04
SRR24706733	WG01-210223-14_B03
SRR24706735	WG0P-210209-14_B03
SRR24706736	WC0Dc-210427-14_B05
SRR24706738	WG0N-210209-14_B03
SRR24706739	WG0E-210209-14_B03
SRR24706741	WG0Hm-210209-14_B03
SRR24706742	WG0W-210209-14_B03
SRR24706745	WG0V-210209-14_B03
SRR24706748	WG01-210209-14_B03
SRR24706751	WG0L-210119-14_B03
SRR24706753	WC0Dc-210420-14_B05
SRR24706754	A1600-10-14_B05
SRR24706762	A0800-2-14_B05
SRR24706764	A0700-1-14_B05
SRR24706766	Positive-Control_Extraction_Batch05
SRR24706767	WC0Dg-210518-14_B05
SRR24706771	WM06-210511-14_B05
SRR24706772	WC0Dg-210511-14_B05
SRR24706779	WG0L-210330-14_B04
SRR24706782	WG0Hm-210330-14_B04
SRR24706785	WG0R-210330-14_B04
SRR24706791	WC0Dg-210323-14_B04
SRR24706793	WG0R-210309-14_B04
SRR24706800	WG0P-210302-14_B04
SRR24706801	WG0L-210302-14_B03
SRR24706802	WR03-210504-14_B05
SRR24706808	WG0R-210302-14_B03
SRR24706810	WR03-210302-14_B03
SRR24706812	WG01-210302-14_B03
SRR24706813	WG0W-210126-14_B03
SRR24706814	WG0A-210126-14_B03
SRR24706815	WG0R-210126-14_B03
SRR24706820	WM04-20201007-14_B02
SRR24706824	WM04-201021-05_B02
SRR24706826	WG02-201021-05_B02
SRR24706829	WM05-20201007-14_B02
SRR24706831	WR03-20201007-14_B02
SRR24706838	WG0R-210112-14_B02
SRR24706845	WG0L-210105-14_B02
SRR24706846	WG0R-210427-14_B05
SRR24706848	WG0Hp-210105-14_B02
SRR24706849	WG0Hm-210105-14_B02
SRR24706852	WG02-210105-14_B02
SRR24706853	WG0S-201202-14_B02
SRR24706857	WG01-201202-14_B02
SRR24706860	B1400-8-14_B05
SRR24706865	WM06-210608-14_B06
SRR24706868	WM06-210518-14_B06
SRR24706874	WGOK-210514C_B06
SRR24706875	WGOK-210510C_B06
SRR24706876	WGOK-210509C_B06
SRR24706879	WGOK-210505C_B06
SRR24706883	WR03-210413-14_B04
SRR24706885	WG02g-210413-14_B04
SRR24706886	WG01-210413-14_B04
SRR24706889	B1600-10-14_B05
SRR24706891	B1200-6-14_B05
SRR24706894	B0800-2-14_B05
SRR24706899	A0500-23-14_B05
SRR24706900	A0400-22-14_B05
SRR24706901	WC0Dg-210420-14_B05
SRR24706902	A0200-20-14_B05
SRR24706903	A0100-19-14_B05
SRR24706906	A2300-17-14_B05
SRR24706913	WGOK-210403C_B06
SRR24706463	WG0P-210406-14_B04
SRR24706466	WG0N-210504-14_B05
SRR24706467	WG0Hp-210406-14_B04
SRR24706468	WG0Hm-210406-14_B04
SRR24706470	WG0A-210406-14_B04
SRR24706471	WG0R-210406-14_B04
SRR24706478	WG0Hp-210323-14_B04
SRR24706488	WC0Dg-210316-14_B04
SRR24706491	WG0Hp-210420-14_B05
SRR24706494	WG0N-210316-14_B04
SRR24706495	WG0W-210202-14_B03
SRR24706498	WG0V-210202-14_B03
SRR24706503	WC0Dc-210223-14_B03
SRR24706504	WG0P-210223-14_B03
SRR24706507	WG0Hp-210223-14_B03
SRR24706510	WG0W-210223-14_B03
SRR24706513	WG0V-210223-14_B03
SRR24706515	WG0Hm-210427-14_B05
SRR24706523	WG02-20200930-14_B02
SRR24706527	WM05-20200930-05_B02
