run_accession	run_alias	sample_accession	sample_alias
SRR24403399	GW4LCA_R1.fastq.gz	SAMN34537682	GW4LCA
SRR24403400	WDQR3U_R1.fastq.gz	SAMN34537993	WDQR3U
SRR24403401	VGTR4N_R1.fastq.gz	SAMN34537992	VGTR4N
SRR24403402	VGB3CL_R1.fastq.gz	SAMN34537991	VGB3CL
SRR24403403	CYE84M_R1.fastq.gz	SAMN34537990	CYE84M
SRR24403404	PBKDWT_R1.fastq.gz	SAMN34537989	PBKDWT
SRR24403405	YR9QGH_R1.fastq.gz	SAMN34537988	YR9QGH
SRR24403406	VD7DN7_R1.fastq.gz	SAMN34537987	VD7DN7
SRR24403407	AZ9E5L_R1.fastq.gz	SAMN34537986	AZ9E5L
SRR24403408	TSL6XD_R1.fastq.gz	SAMN34537985	TSL6XD
SRR24403409	GQFJQS_R1.fastq.gz	SAMN34537984	GQFJQS
SRR24403410	j9p9hf_R1.fastq.gz	SAMN34537669	j9p9hf
SRR24403411	B6C2JA_R1.fastq.gz	SAMN34537983	B6C2JA
SRR24403412	CXBTCW_R1.fastq.gz	SAMN34537982	CXBTCW
SRR24403413	EHCTRU_R1.fastq.gz	SAMN34537981	EHCTRU
SRR24403414	BPGLAB_R1.fastq.gz	SAMN34537980	BPGLAB
SRR24403415	ZRKYA4_R1.fastq.gz	SAMN34537979	ZRKYA4
SRR24403416	YM66DD_R1.fastq.gz	SAMN34537667	YM66DD
SRR24403417	AWAMUQ_R1.fastq.gz	SAMN34537963	AWAMUQ
SRR24403418	k2tg4p_R1.fastq.gz	SAMN34537962	k2tg4p
SRR24403419	WGNCSH_R1.fastq.gz	SAMN34537961	WGNCSH
SRR24403420	TUY8KA_R1.fastq.gz	SAMN34537960	TUY8KA
SRR24403421	GG96FV_R1.fastq.gz	SAMN34537959	GG96FV
SRR24403422	DYP5HZ_R1.fastq.gz	SAMN34537958	DYP5HZ
SRR24403423	V3XEC2_R1.fastq.gz	SAMN34537957	V3XEC2
SRR24403424	C35VMM_R1.fastq.gz	SAMN34537956	C35VMM
SRR24403425	JTWRYP_R1.fastq.gz	SAMN34537955	JTWRYP
SRR24403426	CVXB62_R1.fastq.gz	SAMN34537954	CVXB62
SRR24403427	UZ7ENK_R1.fastq.gz	SAMN34537666	UZ7ENK
SRR24403428	PQQNWY_R1.fastq.gz	SAMN34537953	PQQNWY
SRR24403429	RJDXU8_R1.fastq.gz	SAMN34537952	RJDXU8
SRR24403430	SNRT2M_R1.fastq.gz	SAMN34537951	SNRT2M
SRR24403431	HZSA4Z_R1.fastq.gz	SAMN34537950	HZSA4Z
SRR24403432	AVCMNV_R1.fastq.gz	SAMN34537877	AVCMNV
SRR24403433	DBSDP5_R1.fastq.gz	SAMN34537876	DBSDP5
SRR24403434	C8NC32_R1.fastq.gz	SAMN34537875	C8NC32
SRR24403435	V4C275_R1.fastq.gz	SAMN34537874	V4C275
SRR24403436	CW6JFA_R1.fastq.gz	SAMN34537658	CW6JFA
SRR24403437	M88RFE_R1.fastq.gz	SAMN34537873	M88RFE
SRR24403438	S5N9R4_R1.fastq.gz	SAMN34537872	S5N9R4
SRR24403439	EEHBQB_R1.fastq.gz	SAMN34537871	EEHBQB
SRR24403440	EMPLPN_R1.fastq.gz	SAMN34537870	EMPLPN
SRR24403441	H5DUTZ_R1.fastq.gz	SAMN34537869	H5DUTZ
SRR24403442	BGBW8F_R1.fastq.gz	SAMN34537868	BGBW8F
SRR24403443	MS2C8N_R1.fastq.gz	SAMN34537867	MS2C8N
SRR24403444	TCBA3U_R1.fastq.gz	SAMN34537866	TCBA3U
SRR24403445	RTRAY4_R1.fastq.gz	SAMN34537865	RTRAY4
SRR24403446	KNE3R8_R1.fastq.gz	SAMN34537864	KNE3R8
SRR24403447	PW297L_R1.fastq.gz	SAMN34537657	PW297L
SRR24403448	M3SPVM_R1.fastq.gz	SAMN34537848	M3SPVM
SRR24403449	LG3ZYK_R1.fastq.gz	SAMN34537847	LG3ZYK
SRR24403450	N6E9XA_R1.fastq.gz	SAMN34537846	N6E9XA
SRR24403451	UK2RZG_R1.fastq.gz	SAMN34537845	UK2RZG
SRR24403452	G9L4AY_R1.fastq.gz	SAMN34537844	G9L4AY
SRR24403453	KEXNFN_R1.fastq.gz	SAMN34537655	KEXNFN
SRR24403454	N4V4GG_R1.fastq.gz	SAMN34537843	N4V4GG
SRR24403455	S9FRKV_R1.fastq.gz	SAMN34537842	S9FRKV
SRR24403456	UPDDA4_R1.fastq.gz	SAMN34537841	UPDDA4
SRR24403457	LJM8L4_R1.fastq.gz	SAMN34537840	LJM8L4
SRR24403458	LMJMHS_R1.fastq.gz	SAMN34537839	LMJMHS
SRR24403459	WYAGSA_R1.fastq.gz	SAMN34537838	WYAGSA
SRR24403460	YWM56V_R1.fastq.gz	SAMN34537837	YWM56V
SRR24403461	N5PBFF_R1.fastq.gz	SAMN34537836	N5PBFF
