			Library sizes		SSU sequences identified by Metaxa2						
Library ID	Treatment plant	Sample type	Library Size (reads)	Library Size (Gbp)	Archaea	Bacteria	Chloroplast	Eukaryota	Mitochondria	Unknown	Bacterial 16S per million reads
137	Henriksdal	Digested	25536076	5.1	1470	16274	92	32	2	1120	637.3
138	Henriksdal	Digested	29158391	5.8	1656	18138	114	32	1	1416	622.1
139	Henriksdal	Digested	38948192	7.8	2252	25624	170	52	4	1857	657.9
140	Henriksdal	Digested	31352658	6.3	2009	22121	126	52	6	1554	705.6
141	Henriksdal	Inlet-HA	38308899	7.7	13	54514	33	2065	6	320	1423.0
142	Henriksdal	Inlet-HA	32955483	6.6	6	58600	18	1712	6	373	1778.2
151	Henriksdal	Inlet-Hab	30838974	6.2	14	55996	14	967	11	264	1815.8
152	Henriksdal	Inlet-Hab	25137197	5.0	27	44933	8	1081	12	240	1787.5
149	Henriksdal	Inlet-S	32222303	6.4	46	55055	71	944	5	442	1708.6
150	Henriksdal	Inlet-S	28117910	5.6	45	57126	52	843	12	405	2031.7
159	Henriksdal	Inlet-Sb	41270003	8.3	81	68988	51	604	5	472	1671.6
160	Henriksdal	Inlet-Sb	36398766	7.3	91	60336	47	778	13	464	1657.6
233	Henriksdal	Primary	46144009	9.2	89	87555	33	218	21	828	1897.4
234	Henriksdal	Primary	41348705	8.3	82	68948	47	242	25	823	1667.5
235	Henriksdal	Primary	39900921	8.0	67	78728	28	162	20	778	1973.1
236	Henriksdal	Primary	43290837	8.7	89	85236	30	159	16	931	1968.9
163	Henriksdal	Sand-filtered	35229743	7.0	17	17480	100	1549	83	645	496.2
164	Henriksdal	Sand-filtered	44789391	9.0	27	20927	123	1519	79	687	467.2
129	Henriksdal	Surplus	22805464	4.6	14	16515	53	790	24	664	724.2
130	Henriksdal	Surplus	52253432	10.5	40	35590	119	2152	104	1871	681.1
131	Henriksdal	Surplus	43757445	8.8	29	34764	120	2133	118	1733	794.5
232	Henriksdal	Surplus	49020346	9.8	41	43558	136	3131	218	2482	888.6
161	Henriksdal	Treated	23182067	4.6	12	20662	906	920	54	2858	891.3
162	Henriksdal	Treated	45270422	9.1	34	39887	1286	1358	107	4691	881.1
113	Käppala	Digested	35759318	7.2	1083	28387	160	18	8	1870	793.8
114	Käppala	Digested	40041829	8.0	689	30849	99	68	4	1836	770.4
115	Käppala	Digested	42617028	8.5	784	34584	115	40	6	2068	811.5
216	Käppala	Digested	40974823	8.2	754	33819	91	60	2	1945	825.4
147	Käppala	Inlet	39732853	7.9	57	61531	39	995	17	705	1548.6
148	Käppala	Inlet	42276942	8.5	59	64378	48	749	7	629	1522.8
