SRR6837549	SRX3793449
SRR6837550	SRX3793448
SRR6837551	SRX3793447
SRR6837552	SRX3793446
SRR6837553	SRX3793445
SRR6837554	SRX3793444
SRR6837555	SRX3793443
SRR6837556	SRX3793442
SRR6837557	SRX3793441
SRR6837558	SRX3793440
SRR6837559	SRX3793439
SRR6837560	SRX3793438
SRR6837561	SRX3793437
SRR6837562	SRX3793436
SRR6837563	SRX3793435
SRR6837564	SRX3793434
SRR6837565	SRX3793433
SRR6837566	SRX3793432
SRR6837567	SRX3793431
SRR6837568	SRX3793430
SRR6837569	SRX3793429
SRR6837570	SRX3793428
SRR6837571	SRX3793427
SRR6837572	SRX3793426
SRR6837573	SRX3793425
SRR6837574	SRX3793424
SRR6837575	SRX3793423
SRR6837576	SRX3793422
SRR6837577	SRX3793421
SRR6837578	SRX3793420
SRR6837579	SRX3793419
SRR6837580	SRX3793418
SRR6837581	SRX3793417
SRR6837582	SRX3793416
SRR6837583	SRX3793415
SRR6837584	SRX3793414
