SRR10059222	CHE1-P1	Switzerland	2016-05-17
SRR8749021	CHE1-P2	Switzerland	2016-05-18
SRR10059220	HKG1-P2	Hong Kong	2016-07-14
SRR10059216	HKG2-P1	Hong Kong	2016-12-06
SRR10059218	HKG2-P2	Hong Kong	2016-12-06
SRR8749022	IND1-P1	India	2016-03-10
SRR10059215	IND1-P2	India	2016-03-10
SRR10059219	PHL1-P1	Philippines	2016-12-02
SRR8749020	PHL1-P2	Philippines	2016-11-29
SRR8749024	SWE1-P1	Sweden	2016-06-08
SRR10059214	SWE1-P2	Sweden	2016-06-09
SRR10059217	USA1-P1	USA	2016-11-01
SRR8749023	USA1-P2	USA	2017-01-19
