run_accession	sample_alias	first_created
SRR12596165	6_09_N1	2020-09-06
SRR12596166	5_28_E	2020-09-06
SRR12596167	5_13_C_S2	2020-09-06
SRR12596168	6_09_S1	2020-09-06
SRR12596169	5_28_I	2020-09-06
SRR12596170	5_19_A_S4	2020-09-06
SRR12596171	S_3_6_30_COL	2020-09-06
SRR12596172	5_19_F_S3	2020-09-06
SRR12596173	5_13_A_S1	2020-09-06
SRR12596174	S_3_6_30_MOS	2020-09-06
SRR12596175	MR_1_7_1_MOS	2020-09-06
SRR23998353	S68-1	2023-03-30
SRR23998354	MR3	2023-03-30
SRR23998355	MR2	2023-03-30
SRR23998356	630-SF1	2023-03-30
SRR23998357	630-S2	2023-03-30
SRR23998358	630-S1	2023-03-30
SRR23998359	630-N	2023-03-30
