filename	date	plant	is_enriched
SRR21452137_1.fastq.gz	2020-07-20	ESC	0
SRR21452137_2.fastq.gz	2020-07-20	ESC	0
SRR21452136_1.fastq.gz	2020-07-27	ESC	0
SRR21452136_2.fastq.gz	2020-07-27	ESC	0
SRR18341038_1.fastq.gz	2020-08-03	ESC	1
SRR18341038_2.fastq.gz	2020-08-03	ESC	1
SRR18340986_1.fastq.gz	2020-08-10	ESC	1
SRR18340986_2.fastq.gz	2020-08-10	ESC	1
SRR18341041_1.fastq.gz	2020-08-17	ESC	1
SRR18341041_2.fastq.gz	2020-08-17	ESC	1
SRR18341040_1.fastq.gz	2020-08-24	ESC	1
SRR18341040_2.fastq.gz	2020-08-24	ESC	1
SRR18341037_1.fastq.gz	2020-08-31	ESC	1
SRR18341037_2.fastq.gz	2020-08-31	ESC	1
SRR18341034_1.fastq.gz	2020-09-07	ESC	1
SRR18341034_2.fastq.gz	2020-09-07	ESC	1
SRR18341036_1.fastq.gz	2020-09-14	ESC	1
SRR18341036_2.fastq.gz	2020-09-14	ESC	1
SRR18341035_1.fastq.gz	2020-09-21	ESC	1
SRR18341035_2.fastq.gz	2020-09-21	ESC	1
SRR18340978_1.fastq.gz	2020-10-05	ESC	1
SRR18340978_2.fastq.gz	2020-10-05	ESC	1
SRR18341039_1.fastq.gz	2020-10-12	ESC	1
SRR18341039_2.fastq.gz	2020-10-12	ESC	1
SRR18341028_1.fastq.gz	2020-10-19	ESC	1
SRR18341028_2.fastq.gz	2020-10-19	ESC	1
SRR18341017_1.fastq.gz	2020-10-26	ESC	1
SRR18341017_2.fastq.gz	2020-10-26	ESC	1
SRR18341080_1.fastq.gz	2020-11-02	ESC	1
SRR18341080_2.fastq.gz	2020-11-02	ESC	1
SRR18340967_1.fastq.gz	2020-11-16	ESC	1
SRR18340967_2.fastq.gz	2020-11-16	ESC	1
SRR18341135_1.fastq.gz	2020-11-23	ESC	1
SRR18341135_2.fastq.gz	2020-11-23	ESC	1
SRR18341124_1.fastq.gz	2020-11-30	ESC	1
SRR18341124_2.fastq.gz	2020-11-30	ESC	1
SRR18341108_1.fastq.gz	2020-12-07	ESC	1
SRR18341108_2.fastq.gz	2020-12-07	ESC	1
SRR18341113_1.fastq.gz	2020-12-14	ESC	1
SRR18341113_2.fastq.gz	2020-12-14	ESC	1
SRR18341062_1.fastq.gz	2020-12-21	ESC	1
SRR18341062_2.fastq.gz	2020-12-21	ESC	1
SRR18341051_1.fastq.gz	2020-12-28	ESC	1
SRR18341051_2.fastq.gz	2020-12-28	ESC	1
SRR18340994_1.fastq.gz	2021-01-04	ESC	1
SRR18340994_2.fastq.gz	2021-01-04	ESC	1
SRR18341137_1.fastq.gz	2021-01-11	ESC	1
SRR18341137_2.fastq.gz	2021-01-11	ESC	1
SRR18341136_1.fastq.gz	2021-01-18	ESC	1
SRR18341136_2.fastq.gz	2021-01-18	ESC	1
SRR18341005_1.fastq.gz	2021-01-25	ESC	1
SRR18341005_2.fastq.gz	2021-01-25	ESC	1
SRR18341007_1.fastq.gz	2021-02-08	ESC	1
SRR18341007_2.fastq.gz	2021-02-08	ESC	1
SRR18341097_1.fastq.gz	2021-02-15	ESC	1
SRR18341097_2.fastq.gz	2021-02-15	ESC	1
SRR18341086_1.fastq.gz	2021-02-22	ESC	1
SRR18341086_2.fastq.gz	2021-02-22	ESC	1
SRR18341006_1.fastq.gz	2021-03-01	ESC	1
SRR18341006_2.fastq.gz	2021-03-01	ESC	1
SRR18341001_1.fastq.gz	2021-03-08	ESC	1
SRR18341001_2.fastq.gz	2021-03-08	ESC	1
SRR18341004_1.fastq.gz	2021-03-17	ESC	1
SRR18341004_2.fastq.gz	2021-03-17	ESC	1
SRR18341003_1.fastq.gz	2021-03-22	ESC	1
SRR18341003_2.fastq.gz	2021-03-22	ESC	1
SRR18341002_1.fastq.gz	2021-03-29	ESC	1
SRR18341002_2.fastq.gz	2021-03-29	ESC	1
SRR18340997_1.fastq.gz	2021-04-05	ESC	1
SRR18340997_2.fastq.gz	2021-04-05	ESC	1
SRR18341000_1.fastq.gz	2021-04-12	ESC	1
SRR18341000_2.fastq.gz	2021-04-12	ESC	1
SRR18340999_1.fastq.gz	2021-04-19	ESC	1
SRR18340999_2.fastq.gz	2021-04-19	ESC	1
SRR18340998_1.fastq.gz	2021-04-26	ESC	1
SRR18340998_2.fastq.gz	2021-04-26	ESC	1
SRR18340996_1.fastq.gz	2021-05-10	ESC	1
SRR18340996_2.fastq.gz	2021-05-10	ESC	1
SRR18340995_1.fastq.gz	2021-05-24	ESC	1
SRR18340995_2.fastq.gz	2021-05-24	ESC	1
SRR18340993_1.fastq.gz	2021-05-31	ESC	1
SRR18340993_2.fastq.gz	2021-05-31	ESC	1
SRR18340990_1.fastq.gz	2021-06-09	ESC	1
SRR18340990_2.fastq.gz	2021-06-09	ESC	1
SRR18340992_1.fastq.gz	2021-06-14	ESC	1
SRR18340992_2.fastq.gz	2021-06-14	ESC	1
SRR18340991_1.fastq.gz	2021-06-24	ESC	1
SRR18340991_2.fastq.gz	2021-06-24	ESC	1
SRR18340987_1.fastq.gz	2021-07-05	ESC	1
SRR18340987_2.fastq.gz	2021-07-05	ESC	1
SRR18340989_1.fastq.gz	2021-07-12	ESC	1
SRR18340989_2.fastq.gz	2021-07-12	ESC	1
SRR18340988_1.fastq.gz	2021-07-19	ESC	1
SRR18340988_2.fastq.gz	2021-07-19	ESC	1
SRR14530767_1.fastq.gz	2020-08-11	HTP	0
SRR14530767_2.fastq.gz	2020-08-11	HTP	0
SRR14530790_1.fastq.gz	2020-08-11	HTP	1
SRR14530790_2.fastq.gz	2020-08-11	HTP	1
SRR14530766_1.fastq.gz	2020-08-18	HTP	0
SRR14530766_2.fastq.gz	2020-08-18	HTP	0
SRR14530779_1.fastq.gz	2020-08-18	HTP	1
SRR14530779_2.fastq.gz	2020-08-18	HTP	1
SRR14530765_1.fastq.gz	2020-08-25	HTP	0
SRR14530765_2.fastq.gz	2020-08-25	HTP	0
SRR14530768_1.fastq.gz	2020-08-25	HTP	1
SRR14530768_2.fastq.gz	2020-08-25	HTP	1
SRR14530757_1.fastq.gz	2020-09-01	HTP	1
SRR14530757_2.fastq.gz	2020-09-01	HTP	1
SRR14530764_1.fastq.gz	2020-09-01	HTP	0
SRR14530764_2.fastq.gz	2020-09-01	HTP	0
SRR14530746_1.fastq.gz	2020-09-08	HTP	1
SRR14530746_2.fastq.gz	2020-09-08	HTP	1
SRR14530763_1.fastq.gz	2020-09-08	HTP	0
SRR14530763_2.fastq.gz	2020-09-08	HTP	0
SRR14530735_1.fastq.gz	2020-09-15	HTP	1
SRR14530735_2.fastq.gz	2020-09-15	HTP	1
SRR14530762_1.fastq.gz	2020-09-15	HTP	0
SRR14530762_2.fastq.gz	2020-09-15	HTP	0
SRR14530843_1.fastq.gz	2020-09-22	HTP	1
SRR14530843_2.fastq.gz	2020-09-22	HTP	1
SRR14530881_1.fastq.gz	2020-09-22	HTP	0
SRR14530881_2.fastq.gz	2020-09-22	HTP	0
SRR14530842_1.fastq.gz	2020-09-29	HTP	1
SRR14530842_2.fastq.gz	2020-09-29	HTP	1
SRR14530880_1.fastq.gz	2020-09-29	HTP	0
SRR14530880_2.fastq.gz	2020-09-29	HTP	0
SRR14530772_1.fastq.gz	2020-10-02	HTP	0
SRR14530772_2.fastq.gz	2020-10-02	HTP	0
SRR14530820_1.fastq.gz	2020-10-02	HTP	1
SRR14530820_2.fastq.gz	2020-10-02	HTP	1
SRR14530771_1.fastq.gz	2020-10-13	HTP	0
SRR14530771_2.fastq.gz	2020-10-13	HTP	0
SRR14530819_1.fastq.gz	2020-10-13	HTP	1
SRR14530819_2.fastq.gz	2020-10-13	HTP	1
SRR14530770_1.fastq.gz	2020-10-20	HTP	0
SRR14530770_2.fastq.gz	2020-10-20	HTP	0
SRR14530812_1.fastq.gz	2020-10-20	HTP	1
SRR14530812_2.fastq.gz	2020-10-20	HTP	1
SRR14530769_1.fastq.gz	2020-10-27	HTP	0
SRR14530769_2.fastq.gz	2020-10-27	HTP	0
SRR14530801_1.fastq.gz	2020-10-27	HTP	1
SRR14530801_2.fastq.gz	2020-10-27	HTP	1
SRR14530847_1.fastq.gz	2020-11-03	HTP	1
SRR14530847_2.fastq.gz	2020-11-03	HTP	1
SRR14530888_1.fastq.gz	2020-11-03	HTP	0
SRR14530888_2.fastq.gz	2020-11-03	HTP	0
SRR14530890_1.fastq.gz	2020-11-17	HTP	0
SRR14530890_2.fastq.gz	2020-11-17	HTP	0
SRR14530848_1.fastq.gz	2020-11-24	HTP	1
SRR14530848_2.fastq.gz	2020-11-24	HTP	1
SRR14530889_1.fastq.gz	2020-11-24	HTP	0
SRR14530889_2.fastq.gz	2020-11-24	HTP	0
SRR14530887_1.fastq.gz	2020-12-01	HTP	0
SRR14530887_2.fastq.gz	2020-12-01	HTP	0
SRR14530846_1.fastq.gz	2020-12-04	HTP	1
SRR14530846_2.fastq.gz	2020-12-04	HTP	1
SRR14530886_1.fastq.gz	2020-12-04	HTP	0
SRR14530886_2.fastq.gz	2020-12-04	HTP	0
SRR14530885_1.fastq.gz	2020-12-15	HTP	0
SRR14530885_2.fastq.gz	2020-12-15	HTP	0
SRR14530845_1.fastq.gz	2020-12-22	HTP	1
SRR14530845_2.fastq.gz	2020-12-22	HTP	1
SRR14530884_1.fastq.gz	2020-12-22	HTP	0
SRR14530884_2.fastq.gz	2020-12-22	HTP	0
SRR14530844_1.fastq.gz	2020-12-29	HTP	1
SRR14530844_2.fastq.gz	2020-12-29	HTP	1
SRR14530882_1.fastq.gz	2020-12-29	HTP	0
SRR14530882_2.fastq.gz	2020-12-29	HTP	0
SRR14530849_1.fastq.gz	2021-01-03	HTP	1
SRR14530849_2.fastq.gz	2021-01-03	HTP	1
SRR14530891_1.fastq.gz	2021-01-03	HTP	0
SRR14530891_2.fastq.gz	2021-01-03	HTP	0
SRR18341023_1.fastq.gz	2021-01-05	HTP	1
SRR18341023_2.fastq.gz	2021-01-05	HTP	1
SRR18341022_1.fastq.gz	2021-01-07	HTP	1
SRR18341022_2.fastq.gz	2021-01-07	HTP	1
SRR18341033_1.fastq.gz	2021-01-10	HTP	1
SRR18341033_2.fastq.gz	2021-01-10	HTP	1
SRR18341032_1.fastq.gz	2021-01-12	HTP	1
SRR18341032_2.fastq.gz	2021-01-12	HTP	1
SRR18341031_1.fastq.gz	2021-01-14	HTP	1
SRR18341031_2.fastq.gz	2021-01-14	HTP	1
SRR18341030_1.fastq.gz	2021-01-19	HTP	1
SRR18341030_2.fastq.gz	2021-01-19	HTP	1
SRR18341029_1.fastq.gz	2021-01-21	HTP	1
SRR18341029_2.fastq.gz	2021-01-21	HTP	1
SRR18341027_1.fastq.gz	2021-01-24	HTP	1
SRR18341027_2.fastq.gz	2021-01-24	HTP	1
SRR18341026_1.fastq.gz	2021-01-26	HTP	1
SRR18341026_2.fastq.gz	2021-01-26	HTP	1
SRR18341025_1.fastq.gz	2021-01-28	HTP	1
SRR18341025_2.fastq.gz	2021-01-28	HTP	1
SRR18341024_1.fastq.gz	2021-01-31	HTP	1
SRR18341024_2.fastq.gz	2021-01-31	HTP	1
SRR18341016_1.fastq.gz	2021-02-02	HTP	1
SRR18341016_2.fastq.gz	2021-02-02	HTP	1
SRR18340984_1.fastq.gz	2021-02-04	HTP	1
SRR18340984_2.fastq.gz	2021-02-04	HTP	1
SRR18340983_1.fastq.gz	2021-02-07	HTP	1
SRR18340983_2.fastq.gz	2021-02-07	HTP	1
SRR18340982_1.fastq.gz	2021-02-09	HTP	1
SRR18340982_2.fastq.gz	2021-02-09	HTP	1
SRR18341021_1.fastq.gz	2021-02-10	HTP	1
SRR18341021_2.fastq.gz	2021-02-10	HTP	1
SRR18341020_1.fastq.gz	2021-02-15	HTP	1
SRR18341020_2.fastq.gz	2021-02-15	HTP	1
SRR18341019_1.fastq.gz	2021-02-16	HTP	1
SRR18341019_2.fastq.gz	2021-02-16	HTP	1
SRR18341018_1.fastq.gz	2021-02-18	HTP	1
SRR18341018_2.fastq.gz	2021-02-18	HTP	1
SRR18341015_1.fastq.gz	2021-02-21	HTP	1
SRR18341015_2.fastq.gz	2021-02-21	HTP	1
SRR18341014_1.fastq.gz	2021-02-23	HTP	1
SRR18341014_2.fastq.gz	2021-02-23	HTP	1
SRR18340985_1.fastq.gz	2021-02-28	HTP	1
SRR18340985_2.fastq.gz	2021-02-28	HTP	1
SRR18340976_1.fastq.gz	2021-03-02	HTP	1
SRR18340976_2.fastq.gz	2021-03-02	HTP	1
SRR18340969_1.fastq.gz	2021-03-04	HTP	1
SRR18340969_2.fastq.gz	2021-03-04	HTP	1
SRR18340968_1.fastq.gz	2021-03-07	HTP	1
SRR18340968_2.fastq.gz	2021-03-07	HTP	1
SRR18340966_1.fastq.gz	2021-03-09	HTP	1
SRR18340966_2.fastq.gz	2021-03-09	HTP	1
SRR18340981_1.fastq.gz	2021-03-11	HTP	1
