run_accession	library_name	library_strategy	base_count	first_public	last_updated	run_alias	fastq_ftp	sample_alias	sample_title
SRR23904526	WSAC-220119-39	AMPLICON	70996464	2023-03-19	2023-03-22	WSAC-220119-39-V3_S26_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/026/SRR23904526/SRR23904526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/026/SRR23904526/SRR23904526_2.fastq.gz	WSAC-220119-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904537	WR03-211221-39	AMPLICON	47851880	2023-03-19	2023-03-24	WR03-211221-39-V3_S84_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/037/SRR23904537/SRR23904537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/037/SRR23904537/SRR23904537_2.fastq.gz	WR03-211221-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904539	WG01-220713-39	AMPLICON	654890666	2023-03-19	2023-03-24	WG01-220713-39_S56_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/039/SRR23904539/SRR23904539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/039/SRR23904539/SRR23904539_2.fastq.gz	WG01-220713-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904545	WM06-220504-39	AMPLICON	947661024	2023-03-19	2023-03-24	WM06-20220504-39_S86_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/045/SRR23904545/SRR23904545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/045/SRR23904545/SRR23904545_2.fastq.gz	WM06-220504-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904548	WM06-220413-39_samp_rep_tech_2	AMPLICON	1188358524	2023-03-19	2023-03-21	WM06-20220413-39_S81_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/048/SRR23904548/SRR23904548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/048/SRR23904548/SRR23904548_2.fastq.gz	WM06-220413-39_samp_rep_tech_2	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904553	WM06-220316-39	AMPLICON	254306184	2023-03-19	2023-03-23	WM06-20220316-39_S44_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/053/SRR23904553/SRR23904553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/053/SRR23904553/SRR23904553_2.fastq.gz	WM06-220316-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904558	WM06-210921-31	AMPLICON	256344200	2023-03-19	2023-03-22	WM06-210921-39-V3_S87_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/058/SRR23904558/SRR23904558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/058/SRR23904558/SRR23904558_2.fastq.gz	WM06-210921-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904560	WM06-210907-31	AMPLICON	203024424	2023-03-19	2023-03-22	WM06-210907-33-V3_S26_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/060/SRR23904560/SRR23904560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/060/SRR23904560/SRR23904560_2.fastq.gz	WM06-210907-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904562	WG02c-220518-39_samp_rep_tech_2	AMPLICON	57298832	2023-03-19	2023-03-23	WG02c-220522-39_S70_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/062/SRR23904562/SRR23904562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/062/SRR23904562/SRR23904562_2.fastq.gz	WG02c-220518-39_samp_rep_tech_2	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904565	WG02c-220504-39	AMPLICON	215310432	2023-03-19	2023-03-22	WG02c-20220504-39_S85_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/065/SRR23904565/SRR23904565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/065/SRR23904565/SRR23904565_2.fastq.gz	WG02c-220504-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904568	WG02c-220413-39	AMPLICON	754205136	2023-03-19	2023-03-22	WG02c-20220413-39_S72_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/068/SRR23904568/SRR23904568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/068/SRR23904568/SRR23904568_2.fastq.gz	WG02c-220413-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904570	WG02c-220406-39	AMPLICON	1095434332	2023-03-19	2023-03-24	WG02c-20220406-39_S57_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/070/SRR23904570/SRR23904570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/070/SRR23904570/SRR23904570_2.fastq.gz	WG02c-220406-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904576	WG02c-211221-39	AMPLICON	188657840	2023-03-19	2023-03-23	WG02c-211221-39-V3_S83_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/076/SRR23904576/SRR23904576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/076/SRR23904576/SRR23904576_2.fastq.gz	WG02c-211221-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904578	WG02c-211214-39	AMPLICON	209997424	2023-03-19	2023-03-23	WG02c-211214-19-V3_S83_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/078/SRR23904578/SRR23904578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/078/SRR23904578/SRR23904578_2.fastq.gz	WG02c-211214-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904582	WG01-210713-21_samp_rep_tech_1	AMPLICON	7907496	2023-03-19	2023-03-22	WG01-210713-21-V3_S77_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/082/SRR23904582/SRR23904582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/082/SRR23904582/SRR23904582_2.fastq.gz	WG01-210713-21_samp_rep_tech_1	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904584	WG0Kg-220119-39	AMPLICON	45507280	2023-03-19	2023-03-21	WG0Kg-220119-39-V3_S25_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/084/SRR23904584/SRR23904584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/084/SRR23904584/SRR23904584_2.fastq.gz	WG0Kg-220119-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904587	WG01-210504-31	AMPLICON	275728608	2023-03-19	2023-03-23	WG01-210504-33_S45_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/087/SRR23904587/SRR23904587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/087/SRR23904587/SRR23904587_2.fastq.gz	WG01-210504-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904588	WG01-210427-31	AMPLICON	278721032	2023-03-19	2023-03-23	WG01-210427-33_S56_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/088/SRR23904588/SRR23904588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/088/SRR23904588/SRR23904588_2.fastq.gz	WG01-210427-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904589	WG01-210420-31	AMPLICON	215773272	2023-03-19	2023-03-24	WG01-210420-33_S66_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/089/SRR23904589/SRR23904589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/089/SRR23904589/SRR23904589_2.fastq.gz	WG01-210420-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904591	WG01-210406-31	AMPLICON	150074616	2023-03-19	2023-03-23	WG01-210406-33_S83_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/091/SRR23904591/SRR23904591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/091/SRR23904591/SRR23904591_2.fastq.gz	WG01-210406-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904592	WG01-210323-31	AMPLICON	134545384	2023-03-19	2023-03-24	WG01-210323-33_S94_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/092/SRR23904592/SRR23904592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/092/SRR23904592/SRR23904592_2.fastq.gz	WG01-210323-31	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904598	WC0Dc-220720-26_samp_rep_tech_1	AMPLICON	15138027662	2023-03-19	2023-03-23	WC0Dc-220720-26_S2_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/098/SRR23904598/SRR23904598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/098/SRR23904598/SRR23904598_2.fastq.gz	WC0Dc-220720-26_samp_rep_tech_1	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904600	WG0R-220216-39	AMPLICON	187420256	2023-03-19	2023-03-22	WG0R-20220216_S14_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/000/SRR23904600/SRR23904600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/000/SRR23904600/SRR23904600_2.fastq.gz	WG0R-220216-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
SRR23904608	WG0P-220427-39	AMPLICON	68249672	2023-03-19	2023-03-22	WG0P-20220427-39_S80_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/008/SRR23904608/SRR23904608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR239/008/SRR23904608/SRR23904608_2.fastq.gz	WG0P-220427-39	SARS-CoV-2: wastewater surveillance sample from wastewater metagenome
