sampleID	no-probe_aligned_reads	with-probe_aligned_reads	no-probe_filtered_reads	with-probe_filtered_reads
RTFF63	28	77698	15268490	23274184
DDGVAA	10	25453	12086022	16885688
KAWJTK	21	65164	18008614	24284842
VKCFJW	10	28258	11558988	17881378
QBUGJS	78	407045	12859056	18745338
LLFRTG	38	195598	12665572	15755024
RJP32L	39	142865	11961692	14590176
TESDZA	19	57562	13372606	14633690
WA66AV	39	167749	12670334	17625102
YED6RZ	53	370404	9758786	16939626
CLMWES	20	51699	13467756	19438722
ACAD2C	4	48050	10592690	14298932
Q6EHXX	6	25545	13380626	18827466
CEN9HH	21	63070	11977306	17981486
DJGJ2Q	4	14884	11424944	15158008
RNR2RQ	38	344039	13525790	21935470
TSL6XD	5	31314	13132926	18325184
AZ9E5L	59	261654	9831700	11582442
