sequencing_platform	sequencing_type	instrument_model	insert_size	first_file	second_file	uuid	ENA number	sample_name	isolate	strain	organism	latitude	longitude	country	region	city	collection_date	host	host_status	collected_by	isolation_source
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_086/FoodQCPipeline_tmp/conc_fqs/DTU2019-229-PRJ1066-RA-CPH-Sewage-1_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_086/FoodQCPipeline_tmp/conc_fqs/DTU2019-229-PRJ1066-RA-CPH-Sewage-1_R2_001.fq.gz	DTU2019-229-PRJ1066-RA-CPH-Sewage-1	ERR3562836	DTU2019-229-PRJ1066-RA-CPH-Sewage-1	DTU2019-229-PRJ1066-RA-CPH-Sewage-1		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2015-11-23			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_086/FoodQCPipeline_tmp/conc_fqs/DTU2019-230-PRJ1066-RA-CPH-Sewage-2_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_086/FoodQCPipeline_tmp/conc_fqs/DTU2019-230-PRJ1066-RA-CPH-Sewage-2_R2_001.fq.gz	DTU2019-230-PRJ1066-RA-CPH-Sewage-2	ERR3562837	DTU2019-230-PRJ1066-RA-CPH-Sewage-2	DTU2019-230-PRJ1066-RA-CPH-Sewage-2		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2015-12-02			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_232_DK_sewage/Raw_data_M/DTU2017-586-PRJ1066-RA-Sewage-3_S5_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_232_DK_sewage/Raw_data_M/DTU2017-586-PRJ1066-RA-Sewage-3_S5_L001_R2_001.fastq.gz	DTU2017-586-PRJ1066-RA-Sewage-3_S5_L001	ERR3562838	DTU2017-586-PRJ1066-RA-Sewage-3_S5_L001	DTU2017-586-PRJ1066-RA-Sewage-3_S5_L001		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2016-01-09			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_232_DK_sewage/Raw_data_M/DTU2017-587-PRJ1066-RA-Sewage-4_S6_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_232_DK_sewage/Raw_data_M/DTU2017-587-PRJ1066-RA-Sewage-4_S6_L001_R2_001.fastq.gz	DTU2017-587-PRJ1066-RA-Sewage-4_S6_L001	ERR3562839	DTU2017-587-PRJ1066-RA-Sewage-4_S6_L001	DTU2017-587-PRJ1066-RA-Sewage-4_S6_L001		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2016-01-11			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1771-PRJ1066-Metagenome-RA-5_S13_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1771-PRJ1066-Metagenome-RA-5_S13_L001_R2_001.fastq.gz	DTU2016-1771-PRJ1066-Metagenome-RA-5	ERR3562840	DTU2016-1771-PRJ1066-Metagenome-RA-5	DTU2016-1771-PRJ1066-Metagenome-RA-5		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2016-01-20			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1769-PRJ1066-Metagenome-RA-6_S11_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_199/Raw_data/DTU2016-1769-PRJ1066-Metagenome-RA-6_S11_L001_R2_001.fastq.gz	DTU2016-1769-PRJ1066-Metagenome-RA-6_S11_L001	ERR3562841	DTU2016-1769-PRJ1066-Metagenome-RA-6_S11_L001	DTU2016-1769-PRJ1066-Metagenome-RA-6_S11_L001		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2016-01-22			DTU	wastewater
Illumina	paired	Illumina MiSeq	300	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_195/Raw_data/DTU2016-1616-PRJ1066-RA-Sewage-8_S15_L001_R1_001.fastq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/MiSeq/MiSeq_195/Raw_data/DTU2016-1616-PRJ1066-RA-Sewage-8_S15_L001_R2_001.fastq.gz	DTU2016-1616-PRJ1066-RA-Sewage-8_S15_L001	ERR3562842	DTU2016-1616-PRJ1066-RA-Sewage-8_S15_L001	DTU2016-1616-PRJ1066-RA-Sewage-8_S15_L001		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2016-02-18			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_010/FoodQCPipeline_tmp/conc_fqs/DTU2017-1283-PRJ1066-CPH-Sewage-12_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_010/FoodQCPipeline_tmp/conc_fqs/DTU2017-1283-PRJ1066-CPH-Sewage-12_R2_001.fq.gz	DTU2017-1283-PRJ1066-CPH-Sewage-12	ERR3562843	DTU2017-1283-PRJ1066-CPH-Sewage-12	DTU2017-1283-PRJ1066-CPH-Sewage-12		wastewater metagenome	55.6083	12.4503	Denmark	Avedoere	Copenhagen	2015-12-01			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_011/FoodQCPipeline_tmp/conc_fqs/DTU2017-1284-PRJ1066-CPH-Sewage-14_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_011/FoodQCPipeline_tmp/conc_fqs/DTU2017-1284-PRJ1066-CPH-Sewage-14_R2_001.fq.gz	DTU2017-1284-PRJ1066-CPH-Sewage-14	ERR3562844	DTU2017-1284-PRJ1066-CPH-Sewage-14	DTU2017-1284-PRJ1066-CPH-Sewage-14		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-06			DTU	wastewater
Illumina	paired	Illumina NextSeq 550	300	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_011/FoodQCPipeline_tmp/conc_fqs/DTU2017-1285-PRJ1066-CPH-Sewage-15_R1_001.fq.gz	/home/projects/cge/data/cge_private/FOOD_seqdata/NextSeq/NextSeq_011/FoodQCPipeline_tmp/conc_fqs/DTU2017-1285-PRJ1066-CPH-Sewage-15_R2_001.fq.gz	DTU2017-1285-PRJ1066-CPH-Sewage-15	ERR3562845	DTU2017-1285-PRJ1066-CPH-Sewage-15	DTU2017-1285-PRJ1066-CPH-Sewage-15		wastewater metagenome	55.6406	12.5056	Denmark	Valby	Copenhagen	2015-12-07			DTU	wastewater
