run_accession	run_alias
ERR1224340	run_225501_20160121_China_2_1
ERR1224341	run_225501_20160121_China_3_1
ERR1224342	run_225501_20160121_Greenland_2_1
ERR1224343	run_225501_20160121_Japan_2_1
ERR1224344	run_225501_20160121_Japan_3_1
ERR1224345	run_225501_20160121_Newark_1_1
ERR1224346	run_225501_20160121_Newark_2_1
ERR1224347	run_225501_20160121_Newark_3_1
ERR1224348	run_225501_20160121_Pakistan_2_1
ERR1224349	run_225501_20160121_Singapore_2_1
ERR1224350	run_225501_20160121_Singapore_3_1
ERR1224351	run_225501_20160121_Thailand_1_1
ERR1224352	run_225501_20160121_Thailand_2_1
ERR1224353	run_225501_20160121_Thailand_3_1
ERR1224354	run_225501_20160121_Toronto_1_1
ERR1224355	run_225501_20160121_Washington_1_1
ERR1224356	run_225501_20160121_Washington_2_1
ERR1224357	run_225501_20160121_Washington_3_1
