run_accession	sample_accession	fastq_ftp	sample_alias
SRR14530724	SAMN19167988	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/024/SRR14530724/SRR14530724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/024/SRR14530724/SRR14530724_2.fastq.gz	SB_9_10_2020_INF_unenriched
SRR14530725	SAMN19167989	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/025/SRR14530725/SRR14530725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/025/SRR14530725/SRR14530725_2.fastq.gz	SB_9_24_2020_INF_unenriched
SRR14530726	SAMN19167987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/026/SRR14530726/SRR14530726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/026/SRR14530726/SRR14530726_2.fastq.gz	SB_8_27_2020_INF_unenriched
SRR14530727	SAMN19167986	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/027/SRR14530727/SRR14530727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/027/SRR14530727/SRR14530727_2.fastq.gz	SB_8_13_2020_INF_unenriched
SRR14530728	SAMN19167985	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/028/SRR14530728/SRR14530728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/028/SRR14530728/SRR14530728_2.fastq.gz	SB_10_22_2020_INF_unenriched
SRR14530729	SAMN19167984	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/029/SRR14530729/SRR14530729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/029/SRR14530729/SRR14530729_2.fastq.gz	PL_9_24_2020_INF_unenriched
SRR14530730	SAMN19167983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/030/SRR14530730/SRR14530730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/030/SRR14530730/SRR14530730_2.fastq.gz	PL_9_10_2020_INF_unenriched
SRR14530731	SAMN19167982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/031/SRR14530731/SRR14530731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/031/SRR14530731/SRR14530731_2.fastq.gz	PL_8_27_2020_INF_unenriched
SRR14530732	SAMN19167981	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/032/SRR14530732/SRR14530732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/032/SRR14530732/SRR14530732_2.fastq.gz	PL_8_13_2020_INF_unenriched
SRR14530733	SAMN19167980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/033/SRR14530733/SRR14530733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/033/SRR14530733/SRR14530733_2.fastq.gz	PL_10_22_2020_INF_unenriched
